    alpha        CL         CD         CDi        CD0        CY         CM         Cl         Cn        L/D   
    16.900      1.967      0.205      0.119      0.055      0.000     -1.614     -0.000      0.000      9.601
    17.000      1.973      0.207      0.120      0.056      0.000     -1.619      0.000     -0.000      9.550
    17.100      1.978      0.208      0.121      0.056      0.000     -1.626      0.000     -0.000      9.501
    17.200      1.984      0.210      0.122      0.057      0.000     -1.632     -0.000      0.000      9.451
    17.300      1.990      0.212      0.123      0.058      0.000     -1.638     -0.000      0.000      9.400
    17.400      1.995      0.213      0.123      0.059      0.000     -1.645      0.000     -0.000      9.348
    17.500      2.000      0.215      0.124      0.060      0.000     -1.651      0.000     -0.000      9.296
    17.600      2.005      0.217      0.125      0.061      0.000     -1.658      0.000      0.000      9.243
    17.700      2.010      0.219      0.126      0.062      0.000     -1.666      0.000     -0.000      9.190
    17.800      2.015      0.221      0.126      0.063      0.000     -1.672      0.000     -0.000      9.136
    17.900      2.020      0.222      0.127      0.064      0.000     -1.679      0.000      0.000      9.082
    18.000      2.024      0.224      0.128      0.066      0.000     -1.685      0.000      0.000      9.028
    18.100      2.028      0.226      0.128      0.067      0.000     -1.690      0.000     -0.000      8.972
    18.200      2.032      0.228      0.129      0.068      0.000     -1.695      0.000     -0.000      8.916
    18.300      2.036      0.230      0.130      0.069      0.000     -1.700      0.000     -0.000      8.858
    18.400      2.039      0.232      0.130      0.071      0.000     -1.705     -0.000     -0.000      8.797
    18.500      2.042      0.234      0.131      0.072      0.000     -1.710      0.000     -0.000      8.736
    19.150      1.911      0.268      0.127      0.109      0.000     -1.428     -0.000     -0.000      7.142
